0	3.25382215974e+12
1	3.25376761699e+12
2	3.2535950903e+12
3	3.25324913978e+12
4	3.25265428672e+12
5	3.25180276331e+12
6	3.25064336633e+12
7	3.24913501922e+12
8	3.24722474313e+12
9	3.24485387237e+12
10	3.24198566144e+12
11	3.23857435828e+12
12	3.23454821494e+12
13	3.2298715312e+12
14	3.2244928652e+12
15	3.21835499806e+12
16	3.21139803896e+12
17	3.20357163244e+12
18	3.19482747278e+12
19	3.18509078178e+12
20	3.17433980077e+12
21	3.16249845732e+12
22	3.14950336492e+12
23	3.13531559464e+12
24	3.11991373976e+12
25	3.10314458699e+12
26	3.08503560067e+12
27	3.06541272718e+12
28	3.04440156448e+12
29	3.02178619027e+12
30	2.99766507197e+12
31	2.97191260393e+12
32	2.94464125967e+12
33	2.91539812675e+12
34	2.88467424718e+12
35	2.85219060771e+12
36	2.81805569029e+12
37	2.78223468309e+12
38	2.74475945256e+12
39	2.70557465732e+12
40	2.66495059539e+12
41	2.62322634294e+12
42	2.58054722666e+12
43	2.5374202227e+12
44	2.49401334194e+12
45	2.45036807597e+12
46	2.40676895853e+12
47	2.36367029944e+12
48	2.32100893047e+12
49	2.27931954557e+12
50	2.23854456236e+12
51	2.19954860823e+12
52	2.1624698151e+12
53	2.12783933425e+12
54	2.09544984473e+12
55	2.06513004569e+12
56	2.03684246866e+12
57	2.01062241785e+12
58	1.98634311789e+12
59	1.96417186557e+12
60	1.94371428516e+12
61	1.92504358369e+12
62	1.90844768522e+12
63	1.89331312191e+12
