(0) [1.4749791556832435e-05, 1.4749835475079445e-05, 1.4749974768834298e-05, 1.4750250654391495e-05, 1.4750713134883708e-05, 1.4751392530148195e-05, 1.4752333247129682e-05, 1.4753576707126553e-05, 1.4755168847598989e-05, 1.4757154127607207e-05, 1.4759580265722395e-05, 1.476248133656816e-05, 1.4765917592098578e-05, 1.4769930901709476e-05, 1.4774578135138083e-05, 1.4779901558757203e-05, 1.478596076938858e-05, 1.479280638995964e-05, 1.4800500544863362e-05, 1.4809101156004249e-05, 1.4818646994496157e-05, 1.4829172737375283e-05, 1.4840766283687313e-05, 1.4853423598693597e-05, 1.4867190891086023e-05, 1.4882120943057531e-05, 1.4898152545280468e-05, 1.4915363597976724e-05, 1.4933702437961724e-05, 1.4953150170124129e-05, 1.4973587810466684e-05, 1.4994910452953955e-05, 1.5016962661872404e-05, 1.5039806625353865e-05, 1.5062947249193723e-05, 1.5086275531688544e-05, 1.5109491586361518e-05, 1.5132468872013823e-05, 1.5154756215954684e-05, 1.5176147479085385e-05, 1.519595060951766e-05, 1.5213680442404104e-05, 1.5229285049862521e-05, 1.5242322110325464e-05, 1.5252582627598457e-05, 1.5260007491209319e-05, 1.5264282667969023e-05, 1.5265133601240219e-05, 1.5262466842263578e-05, 1.5256077327461614e-05, 1.5246196802515752e-05, 1.5233104413869071e-05, 1.52175438796896e-05, 1.5199719610626639e-05, 1.5180227969160004e-05, 1.5159214152383593e-05, 1.5137234278365575e-05, 1.5114712057944523e-05, 1.5092036794414809e-05, 1.5069867391188773e-05, 1.5047584892232297e-05, 1.502630572472856e-05, 1.5006311040755437e-05, 1.4987128816717141e-05]
(1) [-0.0, 4.0461525689875608e-10, 9.952508340471859e-10, 2.1505790003692e-09, 3.7153347562693616e-09, 5.9031421289931526e-09, 8.6549118101450546e-09, 1.2232525258822089e-08, 1.6522920059708457e-08, 2.1802359388054722e-08, 2.797058406859947e-08, 3.5312932806604016e-08, 4.3678239411347187e-08, 5.3419173025450153e-08, 6.4391935787119012e-08, 7.6908908118963992e-08, 9.0833206268491693e-08, 1.0656262952241029e-07, 1.239163092570872e-07, 1.4329252711520409e-07, 1.6449002304204419e-07, 1.8789345171098757e-07, 2.1331600408284299e-07, 2.4110480695770058e-07, 2.7101670500768318e-07, 3.0354902530339418e-07, 3.3817357126207893e-07, 3.7547414019304664e-07, 4.1502644894934946e-07, 4.5714721996501729e-07, 5.0144375163249228e-07, 5.4808282838898544e-07, 5.9631450599448943e-07, 6.4696427263165619e-07, 6.9855635165790926e-07, 7.5131153496410055e-07, 8.0410706478058836e-07, 8.5713878693891485e-07, 9.0919470438523066e-07, 9.6030926389318478e-07, 1.0087460340068941e-06, 1.0539987495802212e-06, 1.0954206532713362e-06, 1.1318388770823316e-06, 1.1625095020564059e-06, 1.1877707406095008e-06, 1.2062092792651161e-06, 1.2175431112661318e-06, 1.2208974861508909e-06, 1.2164517618529424e-06, 1.204872618311196e-06, 1.1866091197633909e-06, 1.1622024799748922e-06, 1.1320328023370002e-06, 1.0981223666793612e-06, 1.06071583057415e-06, 1.0207245941318209e-06, 9.79371273799994e-07, 9.3644079458560068e-07, 8.93046410775422e-07, 8.4893226079437075e-07, 8.058984859505374e-07, 7.6388137353341793e-07, 7.2342363392737497e-07]
(2) [0.0, -0.0, 7.9999873005905445e-10, 1.430894572312569e-09, 2.8552484469228769e-09, 4.5154941081161892e-09, 6.8792113968146337e-09, 9.6597573675815516e-09, 1.3324257308964267e-08, 1.7564557034050334e-08, 2.2833241236066786e-08, 2.8751103113614399e-08, 3.5947809025433833e-08, 4.3938596544884983e-08, 5.3286302887496507e-08, 6.361765549296092e-08, 7.5567505894856728e-08, 8.8610580962865613e-08, 1.0344750983783202e-07, 1.1964173654251253e-07, 1.3779031051567896e-07, 1.5727950680171814e-07, 1.7901410235700201e-07, 2.0224522834797268e-07, 2.2767892766849075e-07, 2.5480189293760222e-07, 2.8426258936105547e-07, 3.1549013749555477e-07, 3.4912614801281403e-07, 3.8459781103860675e-07, 4.2249795343377782e-07, 4.6183335190048145e-07, 5.0305354162394631e-07, 5.4568526249235942e-07, 5.8951932113494201e-07, 6.3373179696645581e-07, 6.7857286401660225e-07, 7.229886997307496e-07, 7.6703600900989683e-07, 8.0974025244544135e-07, 8.5081544137856705e-07, 8.8873713525367661e-07, 9.2348145944882964e-07, 9.5338362378161208e-07, 9.7970692581015519e-07, 1.0010032951805262e-06, 1.0179452576053045e-06, 1.0287869802041553e-06, 1.0333084901505038e-06, 1.0313502407350331e-06, 1.023607039216205e-06, 1.0083863716849311e-06, 9.8865659331299492e-07, 9.6397614756435982e-07, 9.3608794090523068e-07, 9.0451111470607402e-07, 8.7058170156294051e-07, 8.3479219750681857e-07, 7.9806865039300902e-07, 7.6126202749619785e-07, 7.2402481220242624e-07, 6.873281013768395e-07, 6.5218093048810553e-07, 6.1814078323153718e-07]
(3) [0.0, -0.0, -0.0, 1.2065910026196828e-09, 1.9347219169265711e-09, 3.4366379914499324e-09, 5.1818729735743014e-09, 7.52232166549642e-09, 1.0296685358662425e-08, 1.3783426566339601e-08, 1.7810881449030719e-08, 2.2656641896212028e-08, 2.8171001595483043e-08, 3.4644963047365118e-08, 4.1869670776598906e-08, 5.0187707430666241e-08, 5.9414310227068885e-08, 6.9901196148402324e-08, 8.1391948344344121e-08, 9.4316030073700984e-08, 1.0845788421393513e-07, 1.2412388149601678e-07, 1.4116273859786511e-07, 1.5988241994094332e-07, 1.7997936233262991e-07, 2.0194216564157474e-07, 2.2534006719195533e-07, 2.5055254588707198e-07, 2.7719782285029101e-07, 3.0576607258480855e-07, 3.357925572698301e-07, 3.6746373106128137e-07, 4.0002072208472127e-07, 4.3447833954229042e-07, 4.693939761624008e-07, 5.0528712617458413e-07, 5.4119365027282428e-07, 5.7728195896215537e-07, 6.1258396321182264e-07, 6.4726944615990113e-07, 6.8021563507563298e-07, 7.1118481540375079e-07, 7.3981816240466969e-07, 7.6543115102140689e-07, 7.870043894840287e-07, 8.052390997243004e-07, 8.1895534282643577e-07, 8.2807638032420539e-07, 8.3204697070181281e-07, 8.3064481954037313e-07, 8.2431782318500719e-07, 8.1364267162607522e-07, 7.9909341469591892e-07, 7.8154613448757219e-07, 7.6197841779373914e-07, 7.3992831846322582e-07, 7.1702715723827801e-07, 6.9247123816935058e-07, 6.6550454161153087e-07, 6.3834567437219959e-07, 6.108764909707258e-07, 5.8419428334682248e-07, 5.5808043710921884e-07, 5.3258002690550327e-07]
(4) [0.0, -0.0, -0.0, -0.0, 1.7335585039357422e-09, 2.5502269756215175e-09, 4.2423570908665088e-09, 6.191341140980771e-09, 8.713860643644939e-09, 1.1626870006107407e-08, 1.5258406647671094e-08, 1.9408273500941372e-08, 2.4333325429702687e-08, 2.9870630199409745e-08, 3.636144753274182e-08, 4.3528623340230511e-08, 5.173016865767111e-08, 6.0828024615099327e-08, 7.1129056880694651e-08, 8.2406211794029928e-08, 9.500939626040831e-08, 1.0873470322506114e-07, 1.2387668357335767e-07, 1.4014621958560662e-07, 1.5805160845609016e-07, 1.7731417566948412e-07, 1.9817241646282024e-07, 2.2051339618805316e-07, 2.4460077277228796e-07, 2.6998943113122398e-07, 2.9713178924793638e-07, 3.2562195753291282e-07, 3.5556629181979485e-07, 3.8658950040498044e-07, 4.1866325227659629e-07, 4.5118950105259735e-07, 4.8414907087868209e-07, 5.1718390195962029e-07, 5.4996099996350983e-07, 5.8201419119744837e-07, 6.1362046337580379e-07, 6.4366459912582123e-07, 6.7165692168251371e-07, 6.9645638545354093e-07, 7.1951433364052712e-07, 7.3938652947242311e-07, 7.5594794985769149e-07, 7.6882989219109769e-07, 7.7739635106823492e-07, 7.8147800185051191e-07, 7.816063465864223e-07, 7.7738602637269226e-07, 7.6906434317466731e-07, 7.566987959543415e-07, 7.4205333886775348e-07, 7.2515860879377188e-07, 7.0486549853778727e-07, 6.8367501941597209e-07, 6.6255401525496715e-07, 6.4078435809586632e-07, 6.1824625309379527e-07, 5.957797013725662e-07, 5.7290564047684331e-07, 5.5144944586600916e-07]
(5) [-0.0, 0.0, -0.0, -0.0, -0.0, 2.0975554480487361e-09, 3.0450434695567826e-09, 4.9924907303004557e-09, 7.1328587158250426e-09, 9.8514039366359531e-09, 1.2948896208226077e-08, 1.6680688657185486e-08, 2.0911802000720691e-08, 2.5887941689222501e-08, 3.1431600361815091e-08, 3.7859092056048724e-08, 4.4963147054025225e-08, 5.2998724585293581e-08, 6.186674757424452e-08, 7.1865683097896274e-08, 8.2722630528417825e-08, 9.4728496314147671e-08, 1.0775553795685203e-07, 1.2204470638714395e-07, 1.3732012635559226e-07, 1.5391004377069022e-07, 1.7155756017869674e-07, 1.9063420665226745e-07, 2.1084847665087832e-07, 2.3260534341180085e-07, 2.5552076122110684e-07, 2.797012782009137e-07, 3.0477536137376537e-07, 3.3121610245115242e-07, 3.5826919166804427e-07, 3.8622680347383159e-07, 4.144898217963179e-07, 4.4330272235433054e-07, 4.7217952204160128e-07, 5.0093205119882844e-07, 5.2811707188465419e-07, 5.5347581857738078e-07, 5.7657243408684541e-07, 5.9750117356036345e-07, 6.1541433362124729e-07, 6.3137038822084558e-07, 6.4384999578445327e-07, 6.530961828598771e-07, 6.5733198051696105e-07, 6.5728717862806901e-07, 6.5334367557291042e-07, 6.4571176345986014e-07, 6.3451510995652729e-07, 6.1945020913309351e-07, 6.0197885575902662e-07, 5.8234603303038713e-07, 5.6085333620087654e-07, 5.3800339297190148e-07, 5.1430176003908011e-07, 4.9049664583830926e-07, 4.6626249765217492e-07, 4.4278720996081086e-07, 4.2028146682845383e-07, 3.9914495382194725e-07]
(6) [0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.5081008024172959e-09, 3.5249441478028632e-09, 5.6911033183497158e-09, 8.0186383094204087e-09, 1.0914495200038605e-08, 1.4122779491991794e-08, 1.8026369143214743e-08, 2.2352687172293597e-08, 2.7401823845624562e-08, 3.2971102161015045e-08, 3.9406473141662565e-08, 4.6381387005734609e-08, 5.4314902681802471e-08, 6.2959672233639868e-08, 7.262751265066515e-08, 8.2994070008073042e-08, 9.4525271893482472e-08, 1.0689836306401562e-07, 1.2039269981311291e-07, 1.3481828605451887e-07, 1.5042401745324098e-07, 1.6696189166193355e-07, 1.8475825780298056e-07, 2.03519219827707e-07, 2.2351453342538995e-07, 2.443368400601548e-07, 2.6629706013449382e-07, 2.8904143093094649e-07, 3.1249909286015477e-07, 3.3616431367132818e-07, 3.6026020038157115e-07, 3.842003148378845e-07, 4.078634661441067e-07, 4.3120070880440731e-07, 4.5306432074093859e-07, 4.7315297149413499e-07, 4.9163415561778168e-07, 5.0760374599468619e-07, 5.2041726526093451e-07, 5.2908496114482031e-07, 5.3491939424007497e-07, 5.367596876585683e-07, 5.3522165536540585e-07, 5.2955191642485737e-07, 5.2100968369937196e-07, 5.0793433571826104e-07, 4.9286271354218381e-07, 4.7536687761483824e-07, 4.5524626196367525e-07, 4.3340998605118585e-07, 4.1142092406955509e-07, 3.8895666964136514e-07, 3.6713706270788865e-07, 3.4500145497079914e-07, 3.2288296371896844e-07, 3.0171907208817782e-07, 2.8211087504819461e-07, 2.6213286786087776e-07]
(7) [-0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.8950077529532118e-09, 4.0349668697839397e-09, 6.4355180393001176e-09, 8.984176524072575e-09, 1.2102055244142595e-08, 1.5525760866541081e-08, 1.9623465580680865e-08, 2.4129052599303465e-08, 2.932338209864509e-08, 3.4987430035495332e-08, 4.1475289441950917e-08, 4.8463734186740786e-08, 5.6333362291821546e-08, 6.486193686664198e-08, 7.4366395526712439e-08, 8.4547307761155623e-08, 9.5696924929113473e-08, 1.0762346209897288e-07, 1.2062126436846424e-07, 1.3426938276574574e-07, 1.4906097005825714e-07, 1.6450520934571601e-07, 1.8091212495890239e-07, 1.9785985090284272e-07, 2.1563343450944436e-07, 2.3371128287177903e-07, 2.5262278907770167e-07, 2.7144854435458776e-07, 2.9043128742615381e-07, 3.0892225940581272e-07, 3.2736912938319407e-07, 3.4506758150511673e-07, 3.6219793954464424e-07, 3.7804732450778911e-07, 3.9244264135383894e-07, 4.0486592223033645e-07, 4.1503613531203296e-07, 4.2223967521426031e-07, 4.2682463923254564e-07, 4.2892307914816311e-07, 4.2751098932286549e-07, 4.2308350963387353e-07, 4.1576532690722111e-07, 4.0553000784386386e-07, 3.927770258028704e-07, 3.7802704218878005e-07, 3.6196780487371415e-07, 3.4371660577195192e-07, 3.2451984170460955e-07, 3.0461337573640673e-07, 2.8506913116036903e-07, 2.6622157721007165e-07, 2.4694424434828259e-07, 2.2728823834519902e-07, 2.0797353741607584e-07, 1.895100301011606e-07, 1.7137221109183055e-07]
(8) [0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 3.3125021776618694e-09, 4.5301016206708059e-09, 7.1719407972970614e-09, 9.9163688962925014e-09, 1.3249688234409669e-08, 1.6862791727517852e-08, 2.1170085140598997e-08, 2.5838615821539506e-08, 3.1218550408121179e-08, 3.70639895917243e-08, 4.3730426108189763e-08, 5.0878976509722141e-08, 5.8911304125485425e-08, 6.7530364415894851e-08, 7.7065270313551912e-08, 8.7145294767109603e-08, 9.8180871364145836e-08, 1.0985858595944074e-07, 1.2241510942042795e-07, 1.3558527090365173e-07, 1.4972661428008815e-07, 1.6440042494740399e-07, 1.7995900139945754e-07, 1.9587808506015188e-07, 2.1234929645678169e-07, 2.2915720664043375e-07, 2.4617838287795135e-07, 2.6289242121645052e-07, 2.7938801811806271e-07, 2.9530705996270005e-07, 3.1093993627439371e-07, 3.2551727210320432e-07, 3.3919067522752964e-07, 3.510243818691902e-07, 3.6125299045615676e-07, 3.692795359444935e-07, 3.7554947184758229e-07, 3.7917035275614878e-07, 3.806863396658767e-07, 3.7945655267247796e-07, 3.7635768168706423e-07, 3.7001979941132845e-07, 3.6106943337920971e-07, 3.493046407479377e-07, 3.3601226674626601e-07, 3.2168219234097472e-07, 3.0588962173490521e-07, 2.8868534980658351e-07, 2.7109935623832207e-07, 2.5300391095260099e-07, 2.3519021415955026e-07, 2.1784699854379473e-07, 2.0036711621019348e-07, 1.8285658782113271e-07, 1.6653421553475981e-07, 1.510530297915701e-07]
(9) [0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 3.7567630137887202e-09, 5.112954886330381e-09, 7.9861852404938483e-09, 1.0962322002964983e-08, 1.4537144401585483e-08, 1.8350725314019451e-08, 2.2882635719038841e-08, 2.7787723613393571e-08, 3.3379613761800102e-08, 3.9409695468481025e-08, 4.6282907163893621e-08, 5.3611130212412303e-08, 6.1766679996777824e-08, 7.0523184943409674e-08, 8.0194665099800493e-08, 9.0398576684996244e-08, 1.0154420349177333e-07, 1.1324308560058683e-07, 1.2584893960551868e-07, 1.3903937807680413e-07, 1.5323761462855008e-07, 1.6785742251862603e-07, 1.8323496262749872e-07, 1.9895186888698285e-07, 2.1560377087308351e-07, 2.322294693007829e-07, 2.492710756771554e-07, 2.6613245936534441e-07, 2.8305011961775785e-07, 2.9941191324611141e-07, 3.1557763155311141e-07, 3.3071221090633065e-07, 3.4430803615191971e-07, 3.5610758453911466e-07, 3.665612835201639e-07, 3.7469702894269145e-07, 3.8095070857087263e-07, 3.8475945053622991e-07, 3.8639304196811411e-07, 3.8489653255507427e-07, 3.8078751554431549e-07, 3.7411549581758175e-07, 3.6540326095592686e-07, 3.5520383433807535e-07, 3.4361664077234692e-07, 3.3038767399126705e-07, 3.1598820119757726e-07, 3.0023361970199484e-07, 2.8435198962604172e-07, 2.684693386681902e-07, 2.526223982429351e-07, 2.3670777762254837e-07, 2.2086153604720797e-07, 2.0572546683134356e-07, 1.9150804765861273e-07]
