(0) [-317075.96870527952, -317840.06214369944, -364290.66434260376, 864011.90174818819, 44835.532856185833, -208984.47929378939, -131645.65992617854, -139524.04346469609, 692338.89433815412, 232730.22569644224, -5534.4300230877097, 26035.416841235579, 9075.2110692408478, 1013199.1103785685, 401008.64123444271, 1405928.2113084665, 2013950.3693970647, 2100718.259782854, 6723113.5202811239, 3023095.1318131085, 205986.32299702591, 512649.24558671919, 523036.02193439414, 711144.78086873237, 633762.36086460028]
(1) [196197.58412212765, 382710.28767088935, 405668.91755143856, 1826537.7843917462, 1227865.4537405469, -124816.05702258775, 110991.39583155228, 192926.12718055877, 1664893.5092398007, 887054.54701175296, -50934.935959928065, 141869.48110440638, 206427.63971728177, 1881141.0782769283, 952599.48363181576, -2092737.6036660755, -1537221.7690492508, -1132671.4986186645, -115846.02761599197, -718238.66249908216, -2254395.1924925577, -1627169.5277626996, -1297931.7758481861, -5124947.1987887286, -2096818.5456640974]
(2) [366656.57319049304, 492056.86283141217, 363293.07151614595, 2300473.6189405839, 1906167.4515447314, 43903.360686092245, 85094.808350940482, -22425.986396592351, 953977.98040974967, 990534.80418027088, -4847.8767053789252, -10862.198029544803, -119547.52179927315, 596283.92605232005, 774262.14107496617, -758744.33336346911, -428525.23561111145, -334623.35457212396, 643009.54177674348, 367310.63601241115, -1037603.461354977, -795600.63738592074, -767282.23094053578, -2269038.7670782572, -1064310.5773234053]
(3) [1271213.7201577912, 836262.06848505035, 739088.94191152253, -844246.8465592094, -67361.994617585675, 846426.55853372696, 559399.80117560225, 471493.69712671684, -1114208.1000844175, -227216.74741934385, 599974.46145021333, 404853.4800131779, 342517.93003274855, -902932.73523617222, -272130.89570196561, 1928524.7898192497, 1734641.3360854911, 1564269.9883362658, -8878913.152629707, -2586016.5965861296, 1701411.3664664573, 1169678.692904925, 1002517.2764182416, -2554669.4839504464, -529726.8416575829]
(4) [201185.64167815816, 80657.659754084205, 93086.00791372823, -857880.33648021985, -748254.18571724254, -90043.0223319785, -135463.38430107507, -82511.472853993953, -1137458.6316796201, -999275.9606587952, -305289.76032453385, -238600.87459534506, -173645.81163434123, -1493813.3926651245, -1057316.1520124853, 2476782.9854343198, 1109095.5722401463, 746916.11725833232, -735537.49854739511, -817495.36225992627, 858780.16928331787, 382240.07402881677, 277224.22057845164, 897147.79184152163, -373821.12337492721]
(5) [-319735.91640685825, -250688.30435799924, -162875.21553979674, -1218796.1287610889, -453795.52230400598, -258817.92460911232, -181754.80726278911, -100659.52432747684, -252792.86660422425, -402697.93408678519, -281545.62133494805, -202517.03853915056, -110173.89633337244, -127409.54049794133, -405361.1597909329, -1946631.5955027235, -1567710.4022489663, -1663856.2622612175, 1039131.3400700879, -689100.97695145174, -246468.45997370259, -307746.857627069, -380306.38306145224, 2105054.964514493, 408034.84232915926]
(6) [-87940.705472546411, -111624.6218607418, -141218.06320239551, 158011.6116316891, 140190.09897607696, -248516.64328769955, -144578.210085609, -99872.368482046397, 171337.664827648, 141901.4294700129, -397475.78071880859, -220646.59418083899, -144320.69304116245, -78458.245781195583, 13804.376793050564, 2503685.6499946169, 1950623.3199365286, 1570712.580530457, 5588945.1944660004, 3339605.2256390355, 5794.3118604142546, 88112.008675563455, -27441.381249200189, 2459993.4022695087, 847353.42383433541]
(7) [-304573.93288435892, -398465.68418472045, -339755.95578578708, -867891.28562768269, -1110635.3383977169, -385199.18930251524, -363589.91577362508, -308095.32661385741, -1491473.8769583812, -1081596.9537892404, -303150.56237778178, -264469.79590936058, -193778.11845352105, -1465838.918191812, -1038617.1491803111, -3123360.9537969572, -1764094.0114594735, -1301831.1158354732, -1045419.4779459797, -4032294.1642619241, -1283191.6136533672, -789153.25517223298, -582651.46561880759, -1425142.2216370429, -1928133.1936949852]
(8) [-1284549.1722390009, -841286.34753996634, -684645.71587499732, -2211325.860465792, -767465.74977895478, -247343.61960150962, -202589.405419213, -154656.39177602096, -1000776.9323419391, -483936.75980513985, 13623.702031816067, -28542.087583678509, -12753.448061672458, -695841.12308857567, -377958.17256460001, 83781.033705865033, -947245.54073098488, -1096287.0173879187, -1205291.3701205449, -859934.92561032996, -740561.27672605729, -875135.6834068324, -906341.76843606774, -2312037.5888921404, -1101245.5385580116]
(9) [576980.70926319354, 65828.629505192192, -38587.410824589577, -1842837.7405161723, -681810.93238151819, 421953.3301431195, 167316.86958541267, 114248.92965181511, -491466.39753297291, -334495.5413315951, 319985.08268990222, 135886.75304870083, 93344.888435425411, -537496.79904880084, -334722.02670795919, 622388.65563703096, 458729.50526029454, 227940.15090153739, 2779173.7167410785, 1293136.8452178745, 707860.0677123171, 365577.80342986161, 194376.69188844436, 789874.65198160103, 783547.81051631819]
